
-------------------------------------
0p/2s
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/4c0a, Prob: 0.86, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/3c0a, Prob: 0.785, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/3c1a, Prob: 0.7375, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 1, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 2c/3c1a, Prob: 0.7375, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 1, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/2c2a, Prob: 0.615, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 2, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 3c/2c2a, Prob: 0.615, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 2, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/1c2a, Prob: 0.4917, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/2c1a, Prob: 0.4433, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 3, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 1c/1c0a, Prob: 0.36, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 2
Item1: 0p/1s, Item2: 0p/1s, Exclusive: 0c/0c0a, Prob: 0.33, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 2

-------------------------------------
1p/1s
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/3c0a, Prob: 0.9, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/3c1a, Prob: 0.8875, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 1, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 4c/2c2a, Prob: 0.875, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 2, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 3c/1c2a, Prob: 0.75, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 2, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 2c/2c1a, Prob: 0.685, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 1, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 2c/2c0a, Prob: 0.62, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 1c/1c2a, Prob: 0.465, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 0c/2c1a, Prob: 0.4425, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 2, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 0c/2c0a, Prob: 0.3658, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 1c/1c0a, Prob: 0.33, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 1
Item1: 0p/1s, Item2: 1p/0s, Exclusive: 1c/0c1a, Prob: 0.2475, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 2, Desired Suffixes: 1

-------------------------------------
2p/0s
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 4c/2c2a, Prob: 0.86, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 2, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 4c/2c0a, Prob: 0.86, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 4c/2c1a, Prob: 0.86, Annul Prob: 0.1512, Multimods: 2, Aspect Suffix Count: 1, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 3c/1c0a, Prob: 0.785, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 3c/1c1a, Prob: 0.785, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 1, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 3c/1c2a, Prob: 0.785, Annul Prob: 0.1512, Multimods: 1, Aspect Suffix Count: 2, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 2c/0c2a, Prob: 0.605, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 2c/0c1a, Prob: 0.605, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 1c/1c0a, Prob: 0.36, Annul Prob: 0.1512, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 0c/0c0a, Prob: 0.33, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 0c/1c1a, Prob: 0.33, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 1, Eldritch Annuls: 0, Desired Suffixes: 0
Item1: 1p/0s, Item2: 1p/0s, Exclusive: 0c/0c2a, Prob: 0.33, Annul Prob: 0.4444, Multimods: 0, Aspect Suffix Count: 2, Eldritch Annuls: 0, Desired Suffixes: 0

-------------------------------------
0p/3s
Item1: 0p/1s, Item2: 0p/2s, Exclusive: 1c/3c0a, Prob: 0.36, Annul Prob: 0.2593, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 3
Item1: 0p/1s, Item2: 0p/2s, Exclusive: 2c/3c0a, Prob: 0.36, Annul Prob: 0.2593, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 3
Item1: 0p/2s, Item2: 0p/2s, Exclusive: 1c/2c0a, Prob: 0.36, Annul Prob: 0, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 4
Item1: 0p/2s, Item2: 0p/2s, Exclusive: 3c/2c0a, Prob: 0.36, Annul Prob: 0, Multimods: 2, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 4
Item1: 0p/2s, Item2: 1p/1s, Exclusive: 1c/3c0a, Prob: 0.36, Annul Prob: 0, Multimods: 1, Aspect Suffix Count: 0, Eldritch Annuls: 0, Desired Suffixes: 3
